Factor2,Factor3,
-32.87308,10.82204,4C_8
-11.13648,10.63168,4C_9
-11.74904,10.6918,4C_9
-10.14637,11.79922,4C_9
-19.32723,7.46118,4C_9
-20.49339,7.38908,4C_9
-17.81089,6.6228,4C_9
-26.98576,6.36428,4C_9
-24.10791,6.46747,4C_9
-26.66556,6.89865,4C_9
2.64646,-1.39369,4C_9+1
2.74267,-0.90742,4C_9+1
2.53178,-1.51793,4C_9+1
-6.66373,-6.39243,4C_9+1
-5.95482,-6.41039,4C_9+1
-4.89951,-6.91569,4C_9+1
-14.06319,-6.29958,4C_9+1
-14.06814,-7.39659,4C_9+1
-14.27301,-6.59993,4C_9+1
9.24317,-17.87321,4C_9+2
10.07496,-18.23947,4C_9+2
10.62978,-18.36636,4C_9+2
4.24432,-23.67783,4C_9+2
1.08168,-21.41557,4C_9+2
-0.18476,-21.0159,4C_9+2
-9.39796,-25.13333,4C_9+2
-8.6628,-24.72175,4C_9+2
-7.75293,-25.14134,4C_9+2
6.16686,1.92875,4C_9+3
6.59691,2.29387,4C_9+3
4.90925,2.31607,4C_9+3
-4.02548,2.5564,4C_9+3
-4.27761,-0.2179,4C_9+3
-5.10635,1.53507,4C_9+3
-15.21891,-0.59504,4C_9+3
-12.87487,-2.06155,4C_9+3
-15.74761,-1.20737,4C_9+3
