PC1,PC2,
-0.70028,2.40823,4C_8
-0.71886,2.99027,4C_8
-0.75068,2.86049,4C_8
-0.7761,2.58379,4C_8
-0.30863,2.57565,4C_9
-0.31855,2.47683,4C_9
-0.33847,2.31288,4C_9
-0.57902,1.75378,4C_9
-0.54022,2.03759,4C_9
-0.52536,2.11456,4C_9
-0.69962,1.98572,4C_9
-0.69304,1.81838,4C_9
-0.68237,2.06596,4C_9
-0.30081,-0.21653,4C_9+1
-0.25061,-0.12426,4C_9+1
-0.15909,0.80828,4C_9+1
-0.49135,-0.32541,4C_9+1
-0.42737,-0.14647,4C_9+1
-0.46469,-0.29674,4C_9+1
-0.68981,-0.41156,4C_9+1
-0.69508,-0.45007,4C_9+1
-0.64943,-0.19744,4C_9+1
-0.1826,-0.95359,4C_9+2
-0.12131,-0.22518,4C_9+2
0.03601,1.00181,4C_9+2
-0.49438,-1.46463,4C_9+2
-0.40195,-1.08456,4C_9+2
-0.44543,-1.26748,4C_9+2
-0.56939,-0.67801,4C_9+2
-0.60134,-0.47251,4C_9+2
-0.65743,-1.25556,4C_9+2
-0.16107,0.02779,4C_9+3
-0.15289,0.0624,4C_9+3
-0.119,0.16863,4C_9+3
-0.39055,0.0438,4C_9+3
-0.32521,0.28969,4C_9+3
-0.34548,0.19119,4C_9+3
-0.62742,0.11542,4C_9+3
-0.6617,-0.29056,4C_9+3
-0.63376,0.11396,4C_9+3
